nome.empresa,setores,patrimonio.liquido,lucro.liquido,atividades.operacionais,total.acoes,mil
EXCELSIOR ALIMENTOS S.A.,Consumo não Cíclico / Alimentos Processados / Carnes e Derivados,65.533,16.386,4.199,1.508.636,TRUE
EZ TEC EMPREEND. E PARTICIPACOES S.A.,Consumo Cíclico / Construção Civil / Incorporações,2.655.143,17.400,10.382,68.530.094,TRUE
FERREIRA GOMES ENERGIA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,870.822,(9.807),24.389,0,TRUE
FERROVIA CENTRO-ATLANTICA S.A.,Bens Industriais / Transporte / Transporte Ferroviário,4.523.421,(78.232),190.166,23,TRUE
FERTILIZANTES HERINGER S.A.,Materiais Básicos / Químicos / Fertilizantes e Defensivos,(713.389),(91.553),(12.249),15.626.962,TRUE
FINANCEIRA ALFA S.A.- CRED FINANC E INVS,Financeiro / Intermediários Financeiros / Soc. Crédito e Financiamento,910.359,11.315,96.975,25.048.128,TRUE
FINANSINOS S.A.- CREDITO FINANC E INVEST,Financeiro / Intermediários Financeiros / Soc. Crédito e Financiamento,13.790,(249),(123),303.030,TRUE
FLEURY S.A.,Saúde / Serv.Méd.Hospit..Análises e Diagnósticos / Serv.Méd.Hospit..Análises e Diagnósticos,1.628.523,92.574,108.262,305.523.104,TRUE
FLEX GESTÃO DE RELACIONAMENTOS S.A.,Bens Industriais / Serviços / Serviços Diversos,68.760,(2.866),(3.885),0,TRUE
FRAS-LE S.A.,Bens Industriais / Material de Transporte / Material Rodoviário,821.987,(2.518),19.165,102.565.350,TRUE
GAFISA S.A.,Consumo Cíclico / Construção Civil / Incorporações,449.455,(46.599),(31.884),67.707.058,TRUE
GAIA AGRO SECURITIZADORA S.A.,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,100,(68),0,0,TRUE
GAIA SECURITIZADORA S.A.,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,930,41,0,0,TRUE
GAMA PARTICIPACOES S.A.,Outros / Outros / Outros,1.288,(43),(44),417,TRUE
GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,Financeiro / Exploração de Imóveis / Exploração de Imóveis,10.953,(27.730),37.570,67.506.100,TRUE
GERDAU S.A.,Materiais Básicos / Siderurgia e Metalurgia / Siderurgia,26.446.351,452.626,(388.447),1.013.219.019,TRUE
GOL LINHAS AEREAS INTELIGENTES S.A.,Bens Industriais / Transporte / Transporte Aéreo,(6.651.579),35.206,406.041,134.613.917,TRUE
GP INVESTMENTS. LTD.,Financeiro / Serviços Financeiros Diversos / Gestão de Recursos e Investimentos,2.437.324,75.454,(36.385),67.776.390,TRUE
GPC PARTICIPACOES S.A.,Materiais Básicos / Químicos / Petroquímicos,193.266,5.930,(5.387),6.267.569,TRUE
GRAZZIOTIN S.A.,Consumo Cíclico / Comércio / Tecidos. Vestuário e Calçados,505.067.067,6.983.061,4.422.421,11.049.599,FALSE
GRENDENE S.A.,Consumo Cíclico / Tecidos. Vestuário e Calçados / Calçados,3.425.862,76.520,247.551,270.818.595,TRUE
GRUPO SBF SA,Consumo Cíclico / Comércio / Produtos Diversos,187.697,(4.143),(215.288),56.408.109,TRUE
GUARARAPES CONFECCOES S.A.,Consumo Cíclico / Comércio / Tecidos. Vestuário e Calçados,4.930.652,29.312,(498.238),86.115.120,TRUE
HAGA S.A. INDUSTRIA E COMERCIO,Bens Industriais / Construção e Engenharia / Produtos para Construção,(78.493.030),(1.651.174),(3.819.065),9.013.373,FALSE
HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,Saúde / Serv.Méd.Hospit..Análises e Diagnósticos / Serv.Méd.Hospit..Análises e Diagnósticos,3.820.249,205.394,229.958,146.032.921,TRUE
HELBOR EMPREENDIMENTOS S.A.,Consumo Cíclico / Construção Civil / Incorporações,1.125.453,(39.963),51.582,179.586.997,TRUE
HERCULES S.A. FABRICA DE TALHERES,Consumo Cíclico / Utilidades Domésticas / Utensílios Domésticos,(386.457),(49),0,243.750,TRUE
HOTEIS OTHON S.A.,Consumo Cíclico / Hoteis e Restaurantes / Hotelaria,(249.277),(3.098),2.017,2.562.885,TRUE
HYPERA S.A.,Saúde / Comércio e Distribuição / Medicamentos e Outros Produtos,8.425.759,321.182,191.818,409.231.858,TRUE
IDEIASNET S.A.,Financeiro / Serviços Financeiros Diversos / Serviços Financeiros Diversos,14.012,791,(1.206),16.317.766,TRUE
IGB ELETRÔNICA S/A,Financeiro / Exploração de Imóveis / Exploração de Imóveis,(849.061),(9.825),1.154,6.048.759,TRUE
IGUA SANEAMENTO S.A.,Utilidade Pública / água e Saneamento / água e Saneamento,701.682,4.349,(11.594),0,TRUE
IGUATEMI EMPRESA DE SHOPPING CENTERS S.A,Financeiro / Exploração de Imóveis / Exploração de Imóveis,2.900.283,55.453,89.698,86.913.923,TRUE
INDUSTRIAS J B DUARTE S.A.,Outros / Outros / Outros,14.496,16.629,251,4.161.639,TRUE
INDUSTRIAS ROMI S.A.,Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Industriais,753.628,87.300,(5.926),29.455.637,TRUE
INEPAR S.A. INDUSTRIA E CONSTRUCOES,Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Industriais,(1.587.478),(311.886),(2.188),0,TRUE
INNCORP S.A.,Outros / Outros / Outros,(167.916),(154.354),(3.909),0,FALSE
INSTITUTO HERMES PARDINI S.A.,Saúde / Serv.Méd.Hospit..Análises e Diagnósticos / Serv.Méd.Hospit..Análises e Diagnósticos,624.985,29.069,36.554,44.851.196,TRUE
INTER CONSTRUTORA E INCORPORADORA S.A.,Consumo Cíclico / Construção Civil / Incorporações,56.410.261,6.838.569,1.770.187,0,FALSE
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,Consumo Cíclico / Hoteis e Restaurantes / Restaurante e Similares,913.566,(8.003),16.013,156.468.224,TRUE
INVESTIMENTOS BEMGE S.A.,Outros / Outros / Outros,222.172,2.146,0,42.570,TRUE
INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR,Bens Industriais / Transporte / Serviços de Apoio e Armazenagem,1.495.728,(295.988),581.424,214.585.684,TRUE
IOCHPE MAXION S.A.,Consumo Cíclico / Automóveis e Motocicletas / Automóveis e Motocicletas,3.214.234,81.054,(196.078),139.973.015,TRUE
IRB - BRASIL RESSEGUROS S.A.,Financeiro / Previdência e Seguros / Seguradoras,3.661.170,350.427,1.023.022,134.795.156,TRUE
ITAPEBI GERACAO DE ENERGIA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,316.732,6.368,(6.250),0,TRUE
ITAU UNIBANCO HOLDING S.A.,Financeiro / Intermediários Financeiros / Bancos,138.659.000,6.903.000,6.597.000,5.126.116.234,TRUE
ITAUSA INVESTIMENTOS ITAU S.A.,Financeiro / Intermediários Financeiros / Bancos,53.361.000,2.501.000,56.000,5.552.933.419,TRUE
J. MACEDO S.A.,Consumo não Cíclico / Alimentos Processados / Alimentos Diversos,622.192,(1.160),(213.155),21.832.197,TRUE
JBS S.A.,Consumo não Cíclico / Alimentos Processados / Carnes e Derivados,29.446.094,1.168.437,(132.652),1.620.646.499,TRUE
JEREISSATI PARTICIPACOES S.A.,Financeiro / Exploração de Imóveis / Exploração de Imóveis,2.900.836,47.300,86.011,34.873.611,TRUE
JHSF PARTICIPACOES S.A.,Consumo Cíclico / Construção Civil / Incorporações,2.286.225,16.918,(40.972),134.728.334,TRUE
JOAO FORTES ENGENHARIA S.A.,Consumo Cíclico / Construção Civil / Incorporações,260.839,(427.819),166.351,4.930.157,TRUE
JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP,Consumo não Cíclico / Alimentos Processados / Alimentos Diversos,663.032,2.423,14.305,2.125.174,TRUE
JSL S.A.,Bens Industriais / Transporte / Transporte Rodoviário,1.326.475,60.760,(42.093),55.040.438,TRUE
KARSTEN S.A.,Consumo Cíclico / Tecidos. Vestuário e Calçados / Fios e Tecidos,(280.082),(20.086),24.790,888.075,TRUE
KEPLER WEBER S.A.,Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Industriais,445.107,4.082,(12.492),26.293.632,TRUE
KLABIN S.A.,Materiais Básicos / Madeira e Papel / Papel e Celulose,6.334.688,(196.164),432.241,3.011.132.125,TRUE
KROTON EDUCACIONAL S.A.,Consumo Cíclico / Diversos / Serviços Educacionais,16.062.783,250.149,(267.416),1.494.140.827,TRUE
LIBRA TERMINAL RIO S.A.,Bens Industriais / Transporte / Serviços de Apoio e Armazenagem,(172.151),18.196,36.073,0,TRUE
LIGHT S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,3.553.715,164.223,154.456,303.934.060,TRUE
LIGHT SERVICOS DE ELETRICIDADE S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,2.421.501,(24.628),15.198,0,TRUE
LINX S.A.,Tecnologia da Informação / Programas e Serviços / Programas e Serviços,1.076.515,17.180,45.585,160.913.029,TRUE
LIQ PARTICIPAÇÕES S.A.,Bens Industriais / Serviços / Serviços Diversos,50.549,(51.187),(542),21.901.312,TRUE
LITEL PARTICIPACOES S.A.,Materiais Básicos / Mineração / Minerais Metálicos,31.396.825,(1.355.993),1.214,0,TRUE
LOCALIZA RENT A CAR S.A.,Consumo Cíclico / Diversos / Aluguel de carros,5.018.286,210.780,(419.816),560.843.706,TRUE
LOG COMMERCIAL PROPERTIES,Financeiro / Exploração de Imóveis / Exploração de Imóveis,2.271.097,13.072,18.816,47.750.725,TRUE
LOG-IN LOGISTICA INTERMODAL S.A.,Bens Industriais / Transporte / Transporte Hidroviário,(349.252),5.225,55.601,16.984.267,TRUE
LOJAS AMERICANAS S.A.,Consumo Cíclico / Comércio / Produtos Diversos,5.963.585,(107.082),(221.375),885.960.163,TRUE
LOJAS RENNER S.A.,Consumo Cíclico / Comércio / Tecidos. Vestuário e Calçados,4.060.519,161.598,(70.304),781.384.541,TRUE
LONGDIS S.A.,Outros / Outros / Outros,(132.535),(136.350),(2.424),24.013,FALSE
LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,Financeiro / Exploração de Imóveis / Intermediação Imobiliária,15.413,(3.274),938,93.546.908,TRUE
LUPATECH S.A.,Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Equipamentos e Serviços,115.171,(19.596),(1.075),16.798.437,TRUE
M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,Consumo não Cíclico / Alimentos Processados / Alimentos Diversos,5.619.792,56.929,205.507,84.751.852,TRUE
MAESTRO LOCADORA DE VEICULOS S.A.,Consumo Cíclico / Diversos / Aluguel de carros,49.533,791,5.241,0,TRUE
MAGAZINE LUIZA S.A.,Consumo Cíclico / Comércio / Eletrodomésticos,2.433.043,132.104,(121.012),67.798.112,TRUE
MAHLE-METAL LEVE S.A.,Consumo Cíclico / Automóveis e Motocicletas / Automóveis e Motocicletas,1.404.016,63.218,60.709,38.492.519,TRUE
MANGELS INDUSTRIAL S.A.,Materiais Básicos / Siderurgia e Metalurgia / Artefatos de Ferro e Aço,(365.718),(1.593),(16.450),2.532.157,TRUE
MANUFATURA DE BRINQUEDOS ESTRELA S.A.,Consumo Cíclico / Viagens e Lazer / Brinquedos e Jogos,(452.044),(14.383),7.171,553.100,TRUE
MARCOPOLO S.A.,Bens Industriais / Material de Transporte / Material Rodoviário,2.182.177,26.993,89.484,747.097.003,TRUE
MARFRIG GLOBAL FOODS S.A.,Consumo não Cíclico / Alimentos Processados / Carnes e Derivados,4.132.467,142.075,(711.522),386.047.807,TRUE
MARISA LOJAS S.A.,Consumo Cíclico / Comércio / Tecidos. Vestuário e Calçados,933.576,(40.865),(17.514),52.529.246,TRUE
MENDES JUNIOR ENGENHARIA S.A.,Bens Industriais / Construção e Engenharia / Construção Pesada,(10.788.329),(71.731),66,331.286,TRUE
MERCANTIL BRASIL FINANC S.A. C.F.I.,Financeiro / Intermediários Financeiros / Soc. Crédito e Financiamento,239.228,9.307,45.380,2.592.615,TRUE
METALFRIO SOLUTIONS S.A.,Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Industriais,98.302,17.344,15.458,1.895.139,TRUE
METALGRAFICA IGUACU S.A.,Materiais Básicos / Embalagens / Embalagens,21.640.057,(3.023.001),2.074.877,43.163,FALSE
METALURGICA GERDAU S.A.,Materiais Básicos / Siderurgia e Metalurgia / Siderurgia,26.258.323,438.980,(420.189),597.445.180,TRUE
METALURGICA RIOSULENSE S.A.,Bens Industriais / Material de Transporte / Material Rodoviário,(16.203),3.715,3.727,139.898,TRUE
METISA METALURGICA TIMBOENSE S.A.,Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Construção e Agrícolas,234.667.110,4.096.528,13.794.218,3.304.003,FALSE
MGI - MINAS GERAIS PARTICIPAÇÕES S.A.,Outros / Outros / Outros,435.014,8.724,25.839,0,TRUE
MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.,Bens Industriais / Construção e Engenharia / Serviços Diversos,741.445,(9.200),24.527,114.647.292,TRUE
MINASMAQUINAS S.A.,Bens Industriais / Comércio / Material de Transporte,140.519,7.224,(13.092),5.482,TRUE
MINERVA S.A.,Consumo não Cíclico / Alimentos Processados / Carnes e Derivados,(373.645),(31.406),239.341,136.454.748,TRUE
MINUPAR PARTICIPACOES S.A.,Consumo não Cíclico / Alimentos Processados / Carnes e Derivados,(357.540),2.452,1.179,3.387.083,TRUE
MMX MINERACAO E METALICOS S.A.,Materiais Básicos / Mineração / Minerais Metálicos,(620.111),(7.301),(195),2.762.888,TRUE
MONTEIRO ARANHA S.A.,Financeiro / Holdings Diversificadas / Holdings Diversificadas,1.100.252,12.710,59.270,3.096.937,TRUE
MOVIDA PARTICIPACOES SA,Consumo Cíclico / Diversos / Aluguel de carros,1.680.825,41.983,(192.938),77.211.458,TRUE
MRS LOGISTICA S.A.,Bens Industriais / Transporte / Transporte Ferroviário,3.960.170,115.879,243.322,6.261.277,TRUE
MRV ENGENHARIA E PARTICIPACOES S.A.,Consumo Cíclico / Construção Civil / Incorporações,5.067.551,196.789,(1.259),292.910.667,TRUE
MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,Financeiro / Exploração de Imóveis / Exploração de Imóveis,5.450.583,91.331,252.182,270.279.854,TRUE
MUNDIAL S.A. - PRODUTOS DE CONSUMO,Consumo Cíclico / Tecidos. Vestuário e Calçados / Acessórios,(134.210),259,12.205,1.666.331,TRUE
NADIR FIGUEIREDO IND E COM S.A.,Consumo Cíclico / Utilidades Domésticas / Utensílios Domésticos,410.305,12.521,22.416,440.406,TRUE
NATURA COSMETICOS S.A.,Consumo não Cíclico / Produtos de Uso Pessoal e de Limpeza / Produtos de Uso Pessoal,2.733.853,13.474,(354.199),175.045.801,TRUE
NEOENERGIA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,18.102.630,509.722,609.719,239.251.040,TRUE
NORDON INDUSTRIAS METALURGICAS S.A.,Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Industriais,(139.339),(373),(3),71.121,TRUE
NORTEC QUÍMICA S.A.,Saúde / Medicamentos e Outros Produtos / Medicamentos e Outros Produtos,123.935,1.737,(688),0,TRUE
NOTRE DAME INTERMEDICA PARTICIPACOES SA,Saúde / Serv.Méd.Hospit..Análises e Diagnósticos / Serv.Méd.Hospit..Análises e Diagnósticos,2.449.914,102.842,224.136,367.129.978,TRUE
NUTRIPLANT INDUSTRIA E COMERCIO S.A.,Materiais Básicos / Químicos / Fertilizantes e Defensivos,(23.023),(1.397),(986),32.014,TRUE
OCTANTE SECURITIZADORA S.A.,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,365,74,(58),0,TRUE
ODONTOPREV S.A.,Saúde / Serv.Méd.Hospit..Análises e Diagnósticos / Serv.Méd.Hospit..Análises e Diagnósticos,1.117.812,97.683,74.393,263.707.679,TRUE
OI S.A.,Telecomunicações / Telecomunicações / Telecomunicações,27.430.093,678.763,(497.499),5.952.358.824,TRUE
OMEGA GERAÇÃO S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,1.981.520,(23.957),67.507,45.456.235,TRUE
OPPORTUNITY ENERGIA E PARTICIPACOES S.A.,Outros / Outros / Outros,25.623,(3.696),(42),23.880,TRUE
OSX BRASIL S.A.,Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Equipamentos e Serviços,(4.118.418),(104.048),1.451.456,1.062.294,TRUE
OURINVEST SECURITIZADORA SA,Não Classificados / Não Classificado / Não Classificados,795,(197),(525),826.755,TRUE
OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.,Saúde / Medicamentos e Outros Produtos / Medicamentos e Outros Produtos,450.956,(5.416),34.268,23.568.833,TRUE
OURO VERDE LOCACAO E SERVICO S.A.,Não Classificados / Não Classificado / Não Classificados,89.187,(22.249),(14.656),87.163.450,TRUE
PANATLANTICA S.A.,Materiais Básicos / Siderurgia e Metalurgia / Artefatos de Ferro e Aço,420.237,6.439,67.008,832.841,TRUE
PARANA BCO S.A.,Financeiro / Intermediários Financeiros / Bancos,1.421.232,75.746,224.740,0,TRUE
PARANAPANEMA S.A.,Materiais Básicos / Siderurgia e Metalurgia / Artefatos de Cobre,573.221,(38.941),5.698,41.349.361,TRUE
PATRIA CIA SECURITIZADORA DE CRED IMOB,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,8,(75),(75),0,TRUE
PBG S/A,Bens Industriais / Construção e Engenharia / Produtos para Construção,344.310,(17.205),(21.294),73.786.991,TRUE
PDG COMPANHIA SECURITIZADORA,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,22.019,26,(374),0,TRUE
PDG REALTY S.A. EMPREEND E PARTICIPACOES,Consumo Cíclico / Construção Civil / Incorporações,(4.249.010),(244.657),68.086,8.066.955,TRUE
PETRO RIO S.A.,Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Exploração. Refino e Distribuição,1.032.595,(53.678),44.927,126.730.759,TRUE
PETROBRAS DISTRIBUIDORA S/A,Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Exploração. Refino e Distribuição,10.163.000,477.000,1.084.000,334.937.500,TRUE
PETROLEO BRASILEIRO S.A. PETROBRAS,Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Exploração. Refino e Distribuição,289.031.000,4.240.000,17.749.000,7.199.814.493,TRUE
PETTENATI S.A. INDUSTRIA TEXTIL,Consumo Cíclico / Tecidos. Vestuário e Calçados / Fios e Tecidos,240.264.504,22.616.880,22.533.362,31.950.788,FALSE
PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,Consumo Cíclico / Automóveis e Motocicletas / Automóveis e Motocicletas,(123.048),(57.670),(5.686),4.970.927,TRUE
POLO CAPITAL SECURITIZADORA S.A,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,748,(52),(59),0,TRUE
POLPAR S.A.,Outros / Outros / Outros,42.419,(62),(25),0,TRUE
POMIFRUTAS S/A,Consumo não Cíclico / Agropecuária / Agricultura,(68.246),318,(726),612.122,TRUE
PORTO SEGURO S.A.,Financeiro / Previdência e Seguros / Seguradoras,7.540.460,297.508,(30.785),94.159.042,TRUE
PORTO SUDESTE V.M. S.A.,Bens Industriais / Transporte / Serviços de Apoio e Armazenagem,38.484,(173.053),(166.149),0,FALSE
POSITIVO TECNOLOGIA S.A.,Tecnologia da Informação / Computadores e Equipamentos / Computadores e Equipamentos,509.219,(4.595),8.436,24.312.498,TRUE
PPLA PARTICIPATIONS LTD.,Financeiro / Serviços Financeiros Diversos / Gestão de Recursos e Investimentos,1.182,(2.227),0,54.058.515,TRUE
PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA,Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Industriais,40.804,(475),437,3.728.273,TRUE
PRINER SERVIÇOS INDUSTRIAIS S.A.,Bens Industriais / Serviços / Serviços Diversos,65.624,(505),4.273,0,TRUE
PRODUTORES ENERGET.DE MANSO S.A.- PROMAN,Utilidade Pública / Energia Elétrica / Energia Elétrica,1.100,0,779,45.000,TRUE
PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,Saúde / Comércio e Distribuição / Medicamentos e Outros Produtos,983.149,(8.513),(32.626),87.499.778,TRUE
PROMPT PARTICIPACOES S.A.,Outros / Outros / Outros,72.824,(76.751),(65.304),6,FALSE
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Saúde / Serv.Méd.Hospit..Análises e Diagnósticos / Serv.Méd.Hospit..Análises e Diagnósticos,2.451.556,96.888,286.816,223.671.772,TRUE
QUALITY SOFTWARE S.A.,Tecnologia da Informação / Programas e Serviços / Programas e Serviços,38.417.831,511.953,(2.154.060),861.605,FALSE
RAIA DROGASIL S.A.,Saúde / Comércio e Distribuição / Medicamentos e Outros Produtos,3.571.437,90.479,75.125,213.553.757,TRUE
RAIZEN ENERGIA S.A.,Consumo não Cíclico / Alimentos Processados / Açucar e Alcool,8.338.026,473.022,2.636.573,7.376.625.657,TRUE
RANDON S.A. IMPLEMENTOS E PARTICIPACOES,Bens Industriais / Material de Transporte / Material Rodoviário,2.060.900,41.664,57.790,197.578.201,TRUE
RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,23.997,1.724,776,1,TRUE
RB CAPITAL SECURITIZADORA S.A.,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,7.739,(884),2.255,0,TRUE
REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.,Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis,5.655,1.101,11.449,0,TRUE
RECRUSUL S.A.,Bens Industriais / Material de Transporte / Material Rodoviário,(65.240),(1.450),(3.003),75.823.374,TRUE
REDE ENERGIA PARTICIPAÇÕES S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,5.209.388,283.138,596.392,8.916.515,TRUE
REFINARIA DE PETROLEOS MANGUINHOS S.A.,Petróleo. Gás e Biocombustíveis / Petróleo. Gás e Biocombustíveis / Exploração. Refino e Distribuição,(2.602.643),(50.182),3.972,23.658.396,TRUE
RENOVA ENERGIA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,(258.775),(182.286),(26.570),12.943.352,TRUE
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.,Consumo Cíclico / Comércio / Tecidos. Vestuário e Calçados,2.213.074,(13.034),(45.333),25.796.692,TRUE
RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,3.897.129,169.786,577.399,0,TRUE
RIO PARANAPANEMA ENERGIA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,1.724.633,89.050,147.055,3.597.286,TRUE
RNI NEGÓCIOS IMOBILIÁRIOS S.A.,Consumo Cíclico / Construção Civil / Incorporações,615.709,(10.687),(14.943),15.066.029,TRUE
RODOVIAS DAS COLINAS S.A.,Bens Industriais / Transporte / Exploração de Rodovias,556.627,42.424,76.152,74.220.000,TRUE
ROSSI RESIDENCIAL S.A.,Consumo Cíclico / Construção Civil / Incorporações,(330.213),(84.828),28.292,12.915.712,TRUE
RUMO MALHA NORTE S.A.,Bens Industriais / Transporte / Transporte Ferroviário,3.677.890,163.320,397.634,1.189.412.363,TRUE
RUMO MALHA PAULISTA S.A.,Bens Industriais / Transporte / Transporte Ferroviário,(267.353),(29.395),190.999,0,TRUE
RUMO S.A.,Bens Industriais / Transporte / Transporte Ferroviário,7.790.322,26.895,521.872,1.053.753.059,TRUE
SALUS INFRAESTRUTURA PORTUARIA SA,Bens Industriais / Transporte / Serviços de Apoio e Armazenagem,(11.346),(10.851),(2.043),4.200,TRUE
SANESALTO SANEAMENTO S.A.,Utilidade Pública / água e Saneamento / água e Saneamento,(444),391,4.113,0,TRUE
SANSUY S.A. INDUSTRIA DE PLASTICOS,Materiais Básicos / Materiais Diversos / Materiais Diversos,(1.102.007),(48.274),457,192.910,TRUE
SANTHER FAB DE PAPEL STA THEREZINHA S.A.,Materiais Básicos / Madeira e Papel / Papel e Celulose,28.714,22.095,11.242,0,TRUE
SANTO ANTONIO ENERGIA S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,4.117.611,(76.059),59.849,0,TRUE
SANTOS BRASIL PARTICIPACOES S.A.,Bens Industriais / Transporte / Serviços de Apoio e Armazenagem,1.337.187,(9.054),21.893,662.056.831,TRUE
SAO CARLOS EMPREEND E PARTICIPACOES S.A.,Financeiro / Exploração de Imóveis / Exploração de Imóveis,1.414.168,6.089,14.110,25.378.930,TRUE
SAO MARTINHO S.A.,Consumo não Cíclico / Alimentos Processados / Açucar e Alcool,3.391.010,314.045,1.680.974,147.017.773,TRUE
SAO PAULO TURISMO S.A.,Consumo Cíclico / Viagens e Lazer / Produção de Eventos e Shows,17.342,(22.784),(6.126),277.159,TRUE
SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,Consumo Cíclico / Comércio / Produtos Diversos,57.088,(63.842),(22.576),18.649.595,TRUE
SCHULZ S.A.,Bens Industriais / Máquinas e Equipamentos / Motores . Compressores e Outros,559.067,18.504,23.104,49.597.453,TRUE
SER EDUCACIONAL S.A.,Consumo Cíclico / Diversos / Serviços Educacionais,1.526.635,56.092,16.590,54.338.507,TRUE
SIDERURGICA J. L. ALIPERTI S.A.,Consumo não Cíclico / Agropecuária / Agricultura,229.220,(1.681),(3.103),9.166,TRUE
SINQIA S.A.,Tecnologia da Informação / Programas e Serviços / Programas e Serviços,82.915,(2.341),(9.323),8.875.888,TRUE
SLC AGRICOLA S.A.,Consumo não Cíclico / Agropecuária / Agricultura,2.896.615,111.381,(82.378),85.085.106,TRUE
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,Consumo Cíclico / Viagens e Lazer / Atividades Esportivas,1.219.667,(1.002),129.862,0,TRUE
SMILES FIDELIDADE S.A.,Consumo Cíclico / Diversos / Programas de Fidelização,1.139.849,141.914,389.124,58.842.428,TRUE
SONAE SIERRA BRASIL S.A.,Financeiro / Exploração de Imóveis / Exploração de Imóveis,3.937.421,46.984,37.028,20.171.465,TRUE
SONDOTECNICA ENGENHARIA SOLOS S.A.,Bens Industriais / Construção e Engenharia / Engenharia Consultiva,61.014,(98),(1.258),884.008,TRUE
SPRINGER S.A.,Financeiro / Holdings Diversificadas / Holdings Diversificadas,38.251,(2.191),(295),317.644,TRUE
SPRINGS GLOBAL PARTICIPACOES S.A.,Consumo Cíclico / Tecidos. Vestuário e Calçados / Fios e Tecidos,1.481.926,159.380,(23.603),23.408.641,TRUE
STARA S.A. - INDÚSTRIA DE IMPLEMENTOS AGRÍCOLAS,Bens Industriais / Máquinas e Equipamentos / Máq. e Equip. Construção e Agrícolas,448.345,14.161,(20.995),31.484.081,TRUE
STATKRAFT ENERGIAS RENOVAVEIS S.A.,Utilidade Pública / Energia Elétrica / Energia Elétrica,1.244.045,17.550,41.450,0,TRUE
SUDESTE S.A.,Outros / Outros / Outros,66.923,(76.490),(70.091),3,FALSE
SUL 116 PARTICIPACOES S.A.,Outros / Outros / Outros,10.861,(95),(45),0,TRUE
SUL AMERICA S.A.,Financeiro / Previdência e Seguros / Seguradoras,6.508.110,223.330,222.708,836.228.310,TRUE
SUZANO HOLDING S.A.,Materiais Básicos / Madeira e Papel / Papel e Celulose,20.382.296,(1.230.258),742.033,0,TRUE
SUZANO S.A.,Materiais Básicos / Madeira e Papel / Papel e Celulose,20.353.352,(1.229.132),744.336,725.859.318,TRUE
